"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGKC",0,-5.79556110135585,0.138,0.79,0
"IGHA1",0,-2.76303546245748,0.115,0.753,0
"IGHG1",0,-7.74012118891072,0.015,0.626,0
"SPP1",0,-5.00638335874876,0.034,0.625,0
"RGS1",0,-1.28879653221426,0.193,0.714,0
"IGLC2",0,-6.13474011941643,0.029,0.545,0
"IGHG3",0,-8.27911453296275,0.006,0.519,0
"HLA-DRB5",0,-6.47407366579093,0.032,0.535,0
"SFTPC",0,3.52875675926956,0.885,0.389,0
"CRIP1",0,-3.35143239724753,0.197,0.684,0
"RPL17",0,-1.37138642542666,0.396,0.841,0
"IGHM",0,-5.45902913435192,0.035,0.475,0
"MIF",0,-1.67743258617174,0.318,0.742,0
"JCHAIN",0,-3.07171834379157,0.024,0.443,0
"BEST1",0,-3.56695979371865,0.071,0.482,0
"IGHG4",0,-7.43154832218103,0.007,0.415,0
"GABARAP",0,-2.05042111831184,0.096,0.498,0
"HSPH1",0,-1.2983595436655,0.299,0.691,0
"IGKV4-1",0,-11.4686706543603,0,0.39,0
"CCL2",0,-2.83978704748799,0.118,0.502,0
"IGHG2",0,-4.8782756537587,0.006,0.381,0
"LSP1",0,-1.25190190487795,0.207,0.573,0
"ANKRD28",0,-1.31749275699643,0.139,0.5,0
"RPS4Y1",0,10.5289390140082,0.355,0.001,0
"C15orf48",0,-3.062003377406,0.095,0.448,0
"FCN3",0,4.59714831761293,0.411,0.066,0
"MTHFD2",0,-1.27674493433125,0.151,0.495,0
"TYMP",0,-1.63866349887401,0.411,0.752,0
"NME1",0,-1.70215520819946,0.128,0.467,0
"DNAJB1",0,-1.31516833008388,0.609,0.941,0
"TGFBI",0,-2.44479961294316,0.146,0.472,0
"NUPR1",0,2.46635971324765,0.537,0.212,0
"ADIRF",0,2.21160918847091,0.47,0.15,0
"CCL18",0,-4.24022786589747,0.055,0.367,0
"SLPI",0,4.10330589222444,0.397,0.086,0
"HMGA1",0,-1.85585065915475,0.122,0.427,0
"SEPP1",0,2.64874695865077,0.45,0.15,0
"MMP9",0,-5.06794532823296,0.011,0.311,0
"SRM",0,-1.57314753798356,0.087,0.381,0
"HSPA6",0,-3.57694119714798,0.045,0.338,0
"EEF1G",0,-3.83493362635975,0.016,0.308,0
"IL1RN",0,-3.03933033412897,0.057,0.347,0
"CD74",0,-1.11333545255472,0.687,0.966,0
"CTSL",0,-2.70453220945443,0.316,0.587,0
"LILRB4",0,-2.89848120587766,0.048,0.308,0
"IGLC3",0,-3.97745339469964,0.029,0.287,0
"HSPA1B",0,-1.21385567220855,0.653,0.909,0
"MZB1",0,-4.91397230686666,0.009,0.262,0
"CD79A",0,-4.84908972080703,0.009,0.262,0
"VIM-AS1",0,-2.87577732842663,0.038,0.288,0
"DERL3",0,-4.807771265893,0.007,0.231,0
"PLA2G7",0,-3.29498010061372,0.025,0.247,0
"IGLV6-57",0,-7.04668492805184,0.001,0.223,0
"RP11-386G11.10",0,-4.3924906985408,0.011,0.229,0
"CTSB",0,-1.81485469430867,0.509,0.726,0
"IGHV4-39",0,-11.431291543632,0,0.212,0
"HSPA1A",0,-1.37238621441904,0.73,0.939,0
"IGKV3-20",0,-6.23374414694487,0.002,0.193,0
"IGKV1-5",0,-7.98955587215475,0.001,0.189,0
"VIM",0,-1.07605091577284,0.776,0.962,0
"HLA-B",0,-0.595961944939633,0.821,0.989,0
"ITM2B",0,1.14693500070331,0.901,0.857,0
"GSTP1",0,1.26243134007678,0.821,0.786,0
"MT-ATP6",0,0.684333772134666,0.989,0.973,0
"PRDX4",7.10275422863355e-305,-1.68516127106528,0.168,0.478,1.47240095159574e-300
"HSPB1",5.27309415581984e-298,-1.24525513112976,0.554,0.864,1.09311241850145e-293
"ID1",1.23918616712237e-297,3.45845103160523,0.398,0.121,2.56883292444466e-293
"GPX3",1.11833994765823e-292,2.94391352679941,0.488,0.213,2.31831871149551e-288
"MMP19",3.36921019502748e-290,-2.11899990988765,0.106,0.378,6.98437273429197e-286
"PIM2",1.56300705077844e-288,-2.25788232611092,0.059,0.308,3.2401136162637e-284
"POU2AF1",4.28763883989554e-287,-5.29026964744036,0.003,0.183,8.88827531510345e-283
"RPS20",1.56604513782212e-286,0.562413188848131,0.971,0.979,3.24641157070525e-282
"DUSP5",1.81103117600396e-278,-1.37759486100388,0.085,0.362,3.75426762785621e-274
"PDXK",8.60197365679063e-278,-1.59261576324029,0.167,0.469,1.7831891390527e-273
"DDX5",1.3479397276511e-277,0.821917195250128,0.915,0.898,2.79427905542073e-273
"MARCO",1.1842636884817e-274,-1.75104053330234,0.198,0.497,2.45497862622256e-270
"CCL7",6.547042870262e-267,-9.32090299594159,0.001,0.164,1.35720198700531e-262
"RPS14",1.85550333953894e-266,0.489229626458113,0.994,0.996,3.84645842286423e-262
"IGLV3-19",3.42839512384038e-263,-11.0400842314034,0,0.16,7.10706309172111e-259
